Gnd tr X,Gnd tr Y,Gaze X,Gaze Y,Timestamp,Res X,Res Y,Mmpix,User Dis,UID
335,1,352.9631,-20.1648,1382645919,,,,,
335,1,356.2613,-13.4877,1382645938,,,,,
335,1,354.1889,-12.1501,1382645995,,,,,
335,1,373.4877,-11.202,1382646024,,,,,
335,1,382.7132,-25.1605,1382646044,,,,,
335,1,382.3564,-16.7571,1382646084,,,,,
335,1,380.4654,-16.0692,1382646118,,,,,
335,1,376.0743,-17.1315,1382646148,,,,,
335,1,365.2718,-10.5592,1382646174,,,,,
335,1,360.204,-10.9787,1382646221,,,,,
335,1,361.4658,0.2471,1382646250,,,,,
335,1,367.0077,-4.8762,1382646294,,,,,
335,1,370.016,-2.5435,1382646324,,,,,
335,1,392.6119,3.8859,1382646355,,,,,
335,1,409.3085,8.6171,1382646384,,,,,
335,1,416.4878,17.4508,1382646429,,,,,
335,1,405.9985,19.8218,1382646459,,,,,
335,1,405.1927,27.6275,1382646474,,,,,
335,1,394.7526,19.7327,1382646519,,,,,
335,1,394.7526,19.7327,1382646553,,,,,
335,1,394.7526,19.7327,1382646583,,,,,
335,1,394.7526,19.7327,1382646613,,,,,
335,1,394.7526,19.7327,1382646644,,,,,
335,1,439.5095,-40.9283,1382646683,,,,,
335,1,347.2751,-33.0241,1382646728,,,,,
335,1,325.322,11.9665,1382646748,,,,,
335,1,327.4402,15.0898,1382646774,,,,,
335,1,338.2616,28.269,1382646818,,,,,
335,1,344.1946,40.0939,1382646864,,,,,
335,1,353.6674,32.0923,1382646895,,,,,
335,1,396.1819,18.2287,1382646925,,,,,
335,1,393.0172,15.7271,1382646955,,,,,
335,1,372.712,-21.1817,1382646984,,,,,
335,1,382.8139,-13.8039,1382647029,,,,,
335,1,380.2976,-16.8272,1382647059,,,,,
335,1,379.5272,-18.2506,1382647074,,,,,
335,1,367.5816,-11.8544,1382647119,,,,,
335,1,367.8257,-15.4537,1382647138,,,,,
335,1,385.0371,16.9338,1382647194,,,,,
335,1,406.3044,33.2723,1382647224,,,,,
335,1,410.9975,38.068,1382647255,,,,,
335,1,394.8128,17.8396,1382647285,,,,,
335,1,405.7183,52.0287,1382647330,,,,,
335,1,402.5604,48.2039,1382647360,,,,,
335,1,394.0049,45.3389,1382647375,,,,,
335,1,374.9831,17.7513,1382647419,,,,,
335,1,352.1333,-5.4153,1382647464,,,,,
335,1,353.2081,-6.8629,1382647494,,,,,
335,1,354.1534,-0.9282,1382647524,,,,,
335,1,375.8943,21.5846,1382647555,,,,,
335,1,375.9201,28.6216,1382647586,,,,,
335,1,374.4252,11.8771,1382647618,,,,,
335,1,373.2019,11.984,1382647659,,,,,
335,1,374.6342,9.7694,1382647674,,,,,
335,1,369.3548,-4.727,1382647719,,,,,
335,1,368.5429,-3.6256,1382647764,,,,,
335,1,373.9768,14.6314,1382647794,,,,,
335,1,376.5611,25.3144,1382647824,,,,,
335,1,371.7944,34.5912,1382647855,,,,,
335,1,368.3445,25.0642,1382647884,,,,,
335,1,369.4257,21.7785,1382647929,,,,,
335,1,344.3498,-0.6036,1382647959,,,,,
335,1,344.6893,3.281,1382647974,,,,,
335,1,349.9908,19.4078,1382648019,,,,,
335,1,347.5277,27.2575,1382648064,,,,,
335,1,342.5589,6.9812,1382648094,,,,,
