TIM REL,GTX,GTY,XRAW,YRAW,GT Xmm,GT Ymm,Xmm,Ymm,YAW GT,YAW DATA,PITCH GT,PITCH DATA,GAZE GT,GAZE ANG,DIFF GZ
1365.72263002,-1.0,1.0,25.3405,13.6963,-0.228,0.228,5.777634,3.1227564,-0.0186620532386,-3.14917744052,0.0186620532386,-5.70640594824,11.8784556234,11.6234907039,0.254964919442
1398.86916995,-1.0,1.0,24.2072,23.1375,-0.228,0.228,5.5192416,5.27535,-0.0186620532386,-3.16924969954,0.0186620532386,-5.52101680876,11.8784556234,11.7977314581,0.0807241652619
1432.24605989,-1.0,1.0,22.7493,21.0798,-0.228,0.228,5.1868404,4.8061944,-0.0186620532386,-3.20022232067,0.0186620532386,-5.55843244559,11.8784556234,11.7608027995,0.117652823905
1465.59274006,-1.0,1.0,23.4064,18.5437,-0.228,0.228,5.3366592,4.2279636,-0.0186620532386,-3.19082718682,0.0186620532386,-5.60160879414,11.8784556234,11.7196319603,0.158823663058
1498.99159002,-1.0,1.0,24.0244,15.4502,-0.228,0.228,5.4775632,3.5226456,-0.0186620532386,-3.1798297089,0.0186620532386,-5.65934607632,11.8784556234,11.6644687474,0.213986876015
1532.24760008,-1.0,1.0,25.3669,14.1129,-0.228,0.228,5.7836532,3.2177412,-0.0186620532386,-3.15596762345,0.0186620532386,-5.68402845968,11.8784556234,11.6431255643,0.235330059134
1565.49078989,-1.0,1.0,24.8497,12.0563,-0.228,0.228,5.6657316,2.7488364,-0.0186620532386,-3.17148361128,0.0186620532386,-5.72948075184,11.8784556234,11.6023771197,0.276078503685
1598.72285008,-1.0,1.0,23.9176,13.6604,-0.228,0.228,5.4532128,3.1145712,-0.0186620532386,-3.19229175336,0.0186620532386,-5.70439953549,11.8784556234,11.6299808184,0.248474804997
1632.12541008,-1.0,1.0,23.8958,13.6693,-0.228,0.228,5.4482424,3.1166004,-0.0186620532386,-3.1936030298,0.0186620532386,-5.70800307769,11.8784556234,11.6290687556,0.249386867817
1665.37116003,-1.0,1.0,24.1573,13.1179,-0.228,0.228,5.5078644,2.9908812,-0.0186620532386,-3.18565560433,0.0186620532386,-5.71868477338,11.8784556234,11.6181491831,0.260306440283
1710.11735988,-1.0,1.0,27.4152,18.0788,-0.228,0.228,6.2506656,4.1219664,-0.0186620532386,-3.1214777893,0.0186620532386,-5.61911481345,11.8784556234,11.7121843443,0.166271279055
1731.97127986,-1.0,1.0,27.309,17.8446,-0.228,0.228,6.226452,4.0685688,-0.0186620532386,-3.12237728051,0.0186620532386,-5.61936481415,11.8784556234,11.708441498,0.170014125431
1765.3812499,-1.0,1.0,25.8854,15.8509,-0.228,0.228,5.9018712,3.6140052,-0.0186620532386,-3.15040843262,0.0186620532386,-5.65873653722,11.8784556234,11.6683842238,0.210071399635
1810.11833,-1.0,1.0,24.3022,14.798,-0.228,0.228,5.5409016,3.373944,-0.0186620532386,-3.18522434855,0.0186620532386,-5.6800050349,11.8784556234,11.6495878036,0.228867819835
1843.47868991,-1.0,1.0,26.3147,15.3287,-0.228,0.228,5.9997516,3.4949436,-0.0186620532386,-3.14743812233,0.0186620532386,-5.66905253122,11.8784556234,11.6635475972,0.214908026219
1876.74467993,-1.0,1.0,26.532,15.3477,-0.228,0.228,6.049296,3.4992756,-0.0186620532386,-3.14269098388,0.0186620532386,-5.67089268657,11.8784556234,11.6662384031,0.212217220324
1910.10560989,-1.0,1.0,28.4659,16.6277,-0.228,0.228,6.4902252,3.7911156,-0.0186620532386,-3.10123433023,0.0186620532386,-5.64365021901,11.8784556234,11.6949047006,0.183550922797
1943.3656199,-1.0,1.0,27.3923,17.4554,-0.228,0.228,6.2454444,3.9798312,-0.0186620532386,-3.1217482346,0.0186620532386,-5.62717410845,11.8784556234,11.7113640834,0.167091539951
